time,distance
0,3.180922
1,3.152896
2,3.329238
3,3.05246
4,3.195701
5,3.185366
6,3.277436
7,3.333131
8,3.234129
9,3.022577
10,3.140306
11,3.399021
12,3.540914
13,3.078045
14,3.102779
15,2.992778
16,3.374201
17,3.235151
18,3.365079
19,3.404917
20,3.242827
21,3.266687
22,3.436125
23,3.294697
24,3.290762
25,3.278136
26,3.377295
27,3.342571
28,3.470228
29,3.52473
30,3.610714
31,3.38887
32,3.582461
33,3.621569
34,3.653439
35,3.388427
36,3.713921
37,3.625797
38,3.480813
39,3.256423
40,3.533978
41,3.568534
42,3.640935
43,3.471159
44,4.006069
45,3.379015
46,3.631358
47,3.851773
48,3.81866
49,3.799282
50,3.400691
51,3.703482
52,3.990833
53,3.626706
54,3.721128
55,3.328706
56,3.64902
57,3.347706
58,3.391954
59,3.23269
60,3.339749
61,3.48451
62,3.593581
63,3.24532
64,3.559835
65,3.668942
66,3.656941
67,3.497043
68,3.487106
69,3.411022
70,3.658051
71,3.547939
72,3.54606
73,3.225533
74,3.365333
75,3.309552
76,3.507391
77,3.919777
78,3.46551
79,3.453473
80,3.242442
81,3.541467
82,3.465456
83,3.830915
84,3.759243
85,3.365329
86,3.36215
87,3.410459
88,3.456353
89,3.417378
90,3.559162
91,3.647325
92,3.511467
93,3.571737
94,3.622778
95,3.303682
96,3.630072
97,3.792777
98,3.628223
99,3.566926
100,3.540263
101,3.440309
102,3.552432
103,3.698228
104,3.604022
105,3.604455
106,3.866184
107,3.298694
108,3.875089
109,3.713155
110,3.602542
111,3.568456
112,3.500212
113,3.788632
114,3.443603
115,3.495953
116,3.423826
117,3.434703
118,3.801855
119,3.520114
120,3.390778
121,3.321037
122,3.568685
123,3.410609
124,3.755323
125,3.742542
126,3.578805
127,3.305124
128,3.536646
129,3.83624
130,3.772278
131,3.822075
132,3.627351
133,3.640468
134,3.777002
135,4.108008
136,3.63486
137,3.367386
138,3.228521
139,3.516453
140,3.474148
141,3.444798
142,3.559562
143,3.601427
144,3.961796
145,3.575052
146,3.480234
147,3.490876
148,3.518715
149,3.621455
150,3.67664
151,3.588057
152,3.407754
153,3.637058
154,3.770384
155,3.698925
156,3.300533
157,3.602762
158,3.516545
159,3.544934
160,4.120084
161,3.362915
162,3.291821
163,3.258261
164,3.626562
165,3.553259
166,3.727724
167,3.537854
168,3.573384
169,3.858961
170,3.66685
171,3.482743
172,3.510447
173,3.850256
174,3.932453
175,3.799737
176,3.215835
177,3.412268
178,3.981883
179,3.545443
180,3.680703
181,3.341969
182,3.653698
183,3.514567
184,3.936308
185,3.593086
186,3.877142
187,3.596388
188,3.6494
189,3.307395
190,3.438004
191,3.540181
192,3.509102
193,3.575426
194,3.697411
195,4.058303
196,3.935732
197,3.820802
198,3.338688
199,3.520226
200,3.451121
201,3.622152
202,3.831224
203,3.71513
204,3.729439
205,3.760831
206,3.659878
207,4.256824
208,4.120833
209,4.317232
210,4.177413
211,4.169033
212,4.264829
213,4.395463
214,3.942921
215,4.345159
216,4.351254
217,4.253147
218,4.226805
219,4.185073
220,4.001745
221,4.679458
222,4.774287
223,4.223845
224,4.055408
225,4.255381
226,4.788382
227,4.826992
228,4.397809
229,4.49522
230,4.963333
231,4.891597
232,4.648795
233,4.292216
234,4.092798
235,4.560035
236,4.252537
237,4.126659
238,4.061565
239,4.335282
240,4.132106
241,4.513609
242,4.57349
243,4.660228
244,4.011346
245,4.236129
246,4.156868
247,4.301713
248,3.879495
249,3.251868
250,3.59747
251,3.501573
252,3.844669
253,3.617475
254,3.355774
255,3.635305
256,3.308166
